UniqueCount	AmbigCount
0	2
0	2
0	481
0	0
0	24
0	4
0	0
0	3
0	3
0	0
0	0
0	0
0	0
1	28
0	3
0	8
0	4
0	20
0	25
0	38
0	14
0	9
18	12
0	2
0	44
0	14
0	7
4	32
0	0
0	0
0	2
0	481
0	61
0	73
0	61
0	60
4	26
0	41
0	1
0	22
0	0
0	0
0	0
0	0
0	9
0	0
0	3
0	19
1	9
0	6
2	14
0	69
0	51
0	52
0	49
0	52
0	35
0	7
0	42
0	39
1	14
0	10
0	3
0	3
0	6
0	6
1	4
0	0
0	0
0	3
0	19
0	55
0	2
0	1
0	4
0	1
0	0
0	17
0	1
0	0
0	31
0	3
0	0
0	8
0	18
0	6
0	0
0	0
0	1375
72	4396
5	23394
0	577
0	13149
0	225
461	12376
0	7148
0	0
0	3
0	16
2	332
2	4
0	0
0	0
0	11
0	12
0	9
0	9
0	10
0	9
0	7
0	6
0	9
0	9
0	6
0	9
0	9
0	9
0	10
0	6
0	4
1	5
0	1
0	1
0	2
0	1
0	1
0	5
0	5
0	6
0	5
0	5
0	5
0	4
2	3
0	8
2	8
0	1
1	5
0	5
1	3
2	9
0	2
0	43
0	41
15	64
0	49
1	109
4	101
0	54
0	64
3	6
0	45
0	67
0	49
0	60
0	6
0	44
0	44
0	8
0	44
0	58
0	55
0	41
0	14
1	41
0	37
0	47
2	50
0	53
0	47
0	54
0	45
0	44
0	44
0	45
0	20
0	45
0	52
0	42
0	20
0	9
0	36
0	14
0	37
2	7
0	0
2	1
0	11
0	3
0	7
0	3
0	0
0	0
0	3
0	0
2	0
0	0
0	0
0	40
0	40
0	0
0	40
0	0
0	0
0	0
0	0
0	0
0	40
0	0
0	0
0	0
0	0
0	0
19	581
0	213
11	550
1	0
2	158
4	21
48	37
5	15
4	22
2	3
0	39
0	25
2	23
0	0
0	9
0	15
0	14
0	14
0	1
6	0
0	18
0	16
4	17
0	10
0	56
0	45
11	56
0	0
0	0
0	2998
0	2922
0	2790
0	2866
0	76
2	180
1	102
0	42
10	135
98	824
0	99
1	42
0	42
0	26
0	37
2	46
0	42
3	39
0	37
0	25
0	26
10	2
2	4
6	0
0	82
0	79
0	84
0	83
10	70
0	78
3	85
0	21
0	64
0	37
0	23
0	25
0	18
1	14
0	13
0	15
0	9
1	10
0	6
2	4
0	0
0	0
0	0
2	0
16	0
1	7
0	0
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	608
0	590
2	564
43	352
1	306
0	271
0	162
220	0
0	1
2	0
1	0
0	1
0	0
0	2
2	193
0	197
0	193
0	148
0	152
0	112
0	121
1	34
0	116
0	96
0	50
0	61
0	63
0	55
1	49
1	10
0	22
1	24
0	26
3	8
0	0
1	0
0	19
0	16
0	20
0	21
0	4
0	18
0	0
0	6
15	247
2	251
2	178
0	169
2	12
0	39
0	52
1	13
15	61
0	31
14	21
0	21
0	6
0	0
0	69
0	34
0	17
0	42
0	13
1	42
0	32
0	241
0	337
0	335
0	258
0	82
0	303
0	347
0	257
40	254
2	226
0	249
0	336
0	272
0	244
0	298
0	307
0	149
0	107
2	94
0	267
0	105
0	129
0	93
0	72
0	68
0	115
0	15
1	28
0	124
0	81
0	73
0	100
0	92
0	92
0	17
0	13
0	66
1	90
0	85
1	64
0	65
0	60
0	50
0	45
0	51
0	38
0	16
0	9
0	2
0	0
10	0
0	56
73	72
0	25
1	0
0	327
0	333
0	82
0	88
1	58
0	26
3	36
0	0
0	20
4	26
0	28
1	25
2	28
0	11
0	8
3	6
0	1
1	0
