UniqueCount	AmbigCount
0	2
0	1
0	372
0	0
0	15
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	10
0	2
0	3
0	1
0	6
0	26
0	34
0	5
0	8
9	8
0	2
0	20
1	8
0	2
3	24
0	0
0	0
0	1
0	397
0	58
0	60
0	52
0	49
3	11
0	41
0	3
0	33
0	0
0	0
0	0
0	0
0	6
0	0
0	1
1	6
0	6
0	1
2	8
0	46
0	34
0	37
0	30
0	25
0	19
0	7
0	28
0	19
0	9
0	10
0	1
0	0
0	1
0	5
0	1
0	0
0	0
0	1
0	12
0	44
0	0
0	0
0	2
0	1
0	0
0	14
0	2
0	3
0	10
0	1
0	0
0	3
0	8
0	1
0	0
0	0
0	1424
163	9404
3	23247
0	580
0	10353
0	210
434	13315
2	7773
0	0
0	1
0	12
3	187
1	5
0	0
0	0
0	5
0	6
0	5
0	5
0	6
0	5
0	8
0	7
0	5
0	5
0	14
0	5
0	5
0	5
0	6
0	4
0	5
0	2
0	1
1	1
0	5
0	0
0	0
0	2
0	2
0	3
0	2
0	2
0	2
0	2
0	15
0	3
0	3
0	2
0	5
0	4
0	2
3	10
0	7
0	31
0	31
15	65
1	37
0	99
3	91
0	54
0	72
1	15
0	45
0	71
0	46
0	59
0	8
0	35
0	43
0	15
0	42
0	49
0	50
0	34
0	10
1	35
0	39
0	39
0	46
0	54
0	47
0	60
0	41
0	35
0	41
0	34
0	11
0	41
0	55
0	38
0	11
0	7
0	23
0	9
0	36
0	7
1	0
1	0
0	7
0	3
0	6
0	2
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	82
0	82
0	0
0	82
0	0
0	0
0	0
0	0
0	0
0	82
0	0
0	0
0	0
0	0
0	0
49	1038
1	388
9	984
0	0
4	278
1	40
38	48
6	17
4	31
8	4
0	54
0	42
0	46
0	6
0	16
0	10
0	10
0	9
0	1
5	0
0	19
2	19
6	15
0	11
0	101
0	83
18	100
0	0
0	0
0	2236
0	2184
0	2066
0	2118
0	55
2	145
6	72
1	27
5	118
71	570
0	68
2	25
0	22
0	12
0	20
2	23
0	21
4	21
0	19
0	12
0	8
6	2
0	4
1	0
0	93
1	90
0	94
0	95
9	77
0	93
2	96
0	23
1	75
0	43
0	30
0	30
0	20
1	18
0	13
0	18
0	14
0	14
0	12
0	3
0	0
0	0
0	0
1	0
15	0
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	6
0	9
0	8
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	629
0	608
0	583
31	337
2	281
0	309
0	153
263	0
0	1
1	1
0	1
0	0
0	0
2	3
0	231
0	244
0	232
0	168
0	174
0	156
0	149
2	42
0	126
2	113
0	40
0	63
0	71
0	66
0	59
0	16
0	24
0	33
2	28
5	9
0	0
1	0
0	14
0	10
2	14
0	14
0	0
0	14
0	0
0	4
9	246
1	240
0	162
0	187
1	9
0	45
0	55
0	13
15	77
0	32
4	26
0	17
0	2
0	0
1	89
0	52
0	28
0	55
0	26
0	62
0	45
0	331
0	430
0	429
0	344
0	111
0	391
0	437
0	345
32	317
2	299
0	335
0	430
0	358
0	331
0	366
0	392
0	191
0	128
2	132
0	322
0	146
0	171
0	124
0	89
0	83
0	142
0	23
1	38
0	130
0	84
0	81
0	105
0	104
0	104
0	26
1	17
0	74
1	91
0	89
0	66
0	67
0	64
0	47
0	40
0	49
0	44
0	10
0	12
0	1
0	0
7	0
0	59
76	73
0	25
3	0
0	329
1	338
1	90
0	93
2	62
0	26
4	35
0	0
0	4
0	10
0	10
0	8
2	9
0	3
0	3
2	2
0	3
0	2
0	351
0	339
14	339
0	354
5	89
0	18
0	0
0	438
0	531
0	452
2	271
0	935
0	560
0	678
0	734
0	303
1	372
0	146
1	152
0	121
0	171
0	264
5	43
1	91
0	24
0	40
0	139
0	142
0	148
0	151
0	138
0	143
0	127
0	125
0	129
0	19
0	126
0	131
0	133
0	64
0	324
1	198
11	299
7	36
2	129
0	81
0	1
